step	exit_code	stdout	stderr	command
01-create.json	0	dogfood/20260323-week5-recovery-host/01-create.json	dogfood/20260323-week5-recovery-host/logs/01-create.stderr.txt	npx tsx src/cli/main.ts create --json -- /bin/sh -c 'echo stale-host-proof; exec cat'
02-inspect-live.json	0	dogfood/20260323-week5-recovery-host/02-inspect-live.json	dogfood/20260323-week5-recovery-host/logs/02-inspect-live.stderr.txt	npx tsx src/cli/main.ts inspect 01KMDQ9S6XFPBFZSKPGJCGN2KX --json
03-list-default.json	0	dogfood/20260323-week5-recovery-host/03-list-default.json	dogfood/20260323-week5-recovery-host/logs/03-list-default.stderr.txt	npx tsx src/cli/main.ts list --json
04-kill-host.json	0	dogfood/20260323-week5-recovery-host/04-kill-host.json	-	kill -9 1047819; sleep 2
05-inspect-post-crash.json	0	dogfood/20260323-week5-recovery-host/05-inspect-post-crash.json	dogfood/20260323-week5-recovery-host/logs/05-inspect-post-crash.stderr.txt	npx tsx src/cli/main.ts inspect 01KMDQ9S6XFPBFZSKPGJCGN2KX --json
06-list-all.json	0	dogfood/20260323-week5-recovery-host/06-list-all.json	dogfood/20260323-week5-recovery-host/logs/06-list-all.stderr.txt	npx tsx src/cli/main.ts list --all --json
07-gc.json	0	dogfood/20260323-week5-recovery-host/07-gc.json	dogfood/20260323-week5-recovery-host/logs/07-gc.stderr.txt	npx tsx src/cli/main.ts gc --json
08-list-final.json	0	dogfood/20260323-week5-recovery-host/08-list-final.json	dogfood/20260323-week5-recovery-host/logs/08-list-final.stderr.txt	npx tsx src/cli/main.ts list --all --json
09-vitest-stale-host	0	dogfood/20260323-week5-recovery-host/logs/09-vitest-stale-host.log	dogfood/20260323-week5-recovery-host/logs/09-vitest-stale-host.log	npx vitest run test/integration/lifecycle.test.ts -t 'stale host recovery'
