bundle	total_files	logs_json_count	screenshots_count	videos_count	recordings_count	has_commands_sh	has_notes_md	has_index_html	has_manifest_json	has_command_status_tsv
20260319-lifecycle	24	0	6	0	0	no	yes	no	yes	no
20260319-nvim-demo	11	0	6	0	0	no	yes	no	yes	no
20260319-resize-demo	9	0	0	0	0	no	yes	no	yes	no
20260320-renderer-complete	16	0	0	0	0	yes	yes	no	no	no
20260321-post-hardening-smoke	19	0	0	0	0	yes	yes	no	no	no
20260321-week3-crash-retention	20	0	0	0	0	yes	no	no	yes	no
20260321-week3-renderer-complete	38	0	0	0	0	yes	no	no	yes	no
20260322-dogfood-alt-screen	67	0	3	1	1	yes	yes	no	yes	yes
20260322-dogfood-color	43	0	2	0	1	yes	yes	no	yes	yes
20260322-dogfood-crash	20	0	0	0	0	no	yes	no	no	no
20260322-dogfood-hello-prompt	19	0	1	1	1	no	yes	no	yes	no
20260322-dogfood-resize	19	0	1	1	1	no	yes	no	yes	no
20260322-dogfood-scrollback	19	0	0	0	0	no	yes	no	no	no
20260322-dogfood-unicode	15	0	0	0	0	no	yes	no	no	no
20260322-dogfood-week4-features	44	0	0	0	0	no	yes	no	no	no
20260322-global-cli-context	7	0	0	0	0	no	yes	no	no	no
20260322-lazyvim-scenario	31	0	0	0	0	no	no	no	no	no
20260322-week4-cli-parity	13	0	0	0	0	no	yes	no	no	no
20260322-week4-failure-recovery	9	0	0	0	0	no	yes	no	no	no
20260322-week4-scrollback-review	11	0	0	0	0	no	yes	no	no	no
20260322-week4-unicode-review	8	0	0	0	0	no	yes	no	no	no
20260323-bugfix-resize	20	0	3	0	0	no	yes	no	no	no
20260323-bugfix-scrollback	13	0	0	0	0	no	yes	no	no	no
20260323-week5-platform-closure	6	0	0	0	0	no	yes	no	no	no
20260323-week5-recovery-host	24	0	0	0	0	yes	yes	no	yes	yes
20260323-week5-recovery-renderer	39	0	2	0	0	yes	yes	no	yes	yes
20260323-week5-recovery-replay	29	0	2	0	1	yes	yes	no	yes	yes
20260323-week5-render-cells	14	0	0	0	0	yes	yes	no	yes	yes
20260323-week5-render-cursor	19	0	3	0	0	yes	yes	no	yes	yes
20260323-week5-render-fonts	15	0	2	0	0	yes	yes	no	yes	yes
20260323-week5-render-timing	19	0	0	0	3	yes	yes	no	yes	yes
20260323-week5-review-helper	17	0	2	0	0	yes	yes	no	yes	yes
20260325-week6-a-cli-contract	25	7	0	0	0	yes	yes	yes	yes	yes
20260325-week6-b-artifact-health	25	8	1	0	0	yes	yes	yes	yes	yes
20260325-week6-c-failure-taxonomy	34	12	0	0	0	yes	yes	yes	yes	yes
20260325-week6-d-review-surface	36	0	1	0	0	yes	yes	yes	yes	yes
20260325-week7-a-cli-parity	43	14	1	1	1	yes	yes	yes	yes	yes
20260325-week7-b-envelope-locks	11	1	0	0	0	yes	yes	no	yes	yes
20260325-week7-c-proof-completeness	13	1	0	0	0	yes	yes	yes	yes	yes
week5-config-parity	34	0	0	0	0	yes	no	no	no	no
